anio,semana,fechaInicio,fechaFin
2025,1,2025-01-01,2025-01-07
2025,2,2025-01-08,2025-01-14
2025,3,2025-01-15,2025-01-21
2025,4,2025-01-22,2025-01-28
2025,5,2025-01-29,2025-02-04
2025,6,2025-02-05,2025-02-11
2025,7,2025-02-12,2025-02-18
2025,8,2025-02-19,2025-02-25
2025,9,2025-02-26,2025-03-04
2025,10,2025-03-05,2025-03-11
2025,11,2025-03-12,2025-03-18
2025,12,2025-03-19,2025-03-25
2025,13,2025-03-26,2025-04-01
2025,14,2025-04-02,2025-04-08
2025,15,2025-04-09,2025-04-15
2025,16,2025-04-16,2025-04-22
2025,17,2025-04-23,2025-04-29
2025,18,2025-04-30,2025-05-06
2025,19,2025-05-07,2025-05-13
2025,20,2025-05-14,2025-05-20
2025,21,2025-05-21,2025-05-27
2025,22,2025-05-28,2025-06-03
2025,23,2025-06-04,2025-06-10
2025,24,2025-06-11,2025-06-17
2025,25,2025-06-18,2025-06-24
2025,26,2025-06-25,2025-07-01
2025,27,2025-07-02,2025-07-08
2025,28,2025-07-09,2025-07-15
2025,29,2025-07-16,2025-07-22
2025,30,2025-07-23,2025-07-29
2025,31,2025-07-30,2025-08-05
2025,32,2025-08-06,2025-08-12
2025,33,2025-08-13,2025-08-19
2025,34,2025-08-20,2025-08-26
2025,35,2025-08-27,2025-09-02
2025,36,2025-09-03,2025-09-09
2025,37,2025-09-10,2025-09-16
2025,38,2025-09-17,2025-09-23
2025,39,2025-09-24,2025-09-30
2025,40,2025-10-01,2025-10-07
2025,41,2025-10-08,2025-10-14
2025,42,2025-10-15,2025-10-21
2025,43,2025-10-22,2025-10-28
2025,44,2025-10-29,2025-11-04
2025,45,2025-11-05,2025-11-11
2025,46,2025-11-12,2025-11-18
2025,47,2025-11-19,2025-11-25
2025,48,2025-11-26,2025-12-02
2025,49,2025-12-03,2025-12-09
2025,50,2025-12-10,2025-12-16
2025,51,2025-12-17,2025-12-23
2025,52,2025-12-24,2025-12-30
2026,1,2026-01-01,2026-01-07
2026,2,2026-01-08,2026-01-14
2026,3,2026-01-15,2026-01-21
